Asset,Window,Cutoff,Ann_Return,Sharpe,Win_Rate
创业板,20,300,0.08519322157368586,0.4601264623326978,0.47954545454545455
创业板,20,400,0.08136336805414299,0.42696074939656947,0.4848156182212581
创业板,20,500,0.09701284845523127,0.5038653920868075,0.4867162592986185
创业板,20,600,0.11101132177206284,0.5712847862126875,0.48851774530271397
创业板,20,800,0.11492530926622582,0.5814089768351055,0.48923076923076925
创业板,20,1000,0.12269697522551624,0.6177458118652432,0.49031600407747195
创业板,20,None,0.13660304199939824,0.5926630717090302,0.49122807017543857
创业板,25,300,0.13234151903023458,0.6925791236164858,0.48536036036036034
创业板,25,400,0.15974101924589526,0.767347388733956,0.4870410367170626
创业板,25,500,0.1650938554373696,0.7859632169755995,0.48936170212765956
创业板,25,600,0.163291660226623,0.7666504129892582,0.49007314524555906
创业板,25,800,0.18010349816597357,0.8382948642022864,0.49382716049382713
创业板,25,1000,0.18726955160301453,0.8686782061533469,0.4948875255623722
创业板,25,None,0.169284723240985,0.7235381303899048,0.49363369245837413
创业板,30,300,0.14912236934615608,0.7405241554879225,0.49144811858608894
创业板,30,400,0.13400714936431407,0.6501134564691575,0.49286498353457736
创业板,30,500,0.1485792888807781,0.7121570557590848,0.49461206896551724
创业板,30,600,0.13974147789250382,0.6426666658240099,0.4973319103521878
创业板,30,800,0.15518379904891186,0.7004399754098456,0.4994731296101159
创业板,30,1000,0.1657324051678419,0.7404450204445633,0.5020703933747412
创业板,30,None,0.15569018508437435,0.6721883103458363,0.4995004995004995
南方原油,20,300,0.22425185801447142,1.2110538164791478,0.5271565495207667
南方原油,20,400,0.25111694698087683,1.281802308461019,0.5266393442622951
南方原油,20,500,0.2518326655229858,1.2734457198484577,0.5256281407035176
南方原油,20,600,0.25957170214465464,1.2955180867134242,0.5234765234765235
南方原油,20,800,0.26640119811619023,1.2993073015588577,0.5241379310344828
南方原油,20,1000,0.2714852459114296,1.3015132811665295,0.5230166503428012
南方原油,20,None,0.18091349050504818,0.7675387168721068,0.5178399228543876
南方原油,25,300,0.20840134225223467,1.0779468297428512,0.5227032734952481
南方原油,25,400,0.21035047678794772,1.046490983873248,0.5198372329603256
南方原油,25,500,0.2112870145944552,1.0237833073213272,0.5214356929212363
南方原油,25,600,0.2162576443703894,1.0377268887804607,0.5207509881422925
南方原油,25,800,0.21111203600101616,0.9803967061439672,0.5196463654223968
南方原油,25,1000,0.17904855398918212,0.8073397416949181,0.5176125244618396
南方原油,25,None,0.1435721809878081,0.6105894009313103,0.5160349854227405
