return,max_dd,sharpe,trades,type,param
29.157575131442705,-0.2087040513133246,1.9374939612391984,338,Score Diff,8
28.422012676154853,-0.20718364292726402,1.9265569724774851,330,Score Diff,10
27.208781450678696,-0.20879317173473053,1.8970582798733497,352,Score Diff,5
21.108727219224125,-0.18972308815343628,1.8543431952086857,242,Consecutive,3
20.38782838887641,-0.25364793265967384,1.7933010471011959,310,Score Diff,15
20.13844012420263,-0.22987417688458506,1.7836437094164777,298,Score Diff,20
22.818126331611772,-0.20997195048693276,1.757517782178043,355,Pct Diff,10%
16.45377168787323,-0.2377240029776522,1.7560637380371489,177,Consecutive,5
22.162713765948894,-0.2063608174961813,1.7378015543938936,366,Score Diff,2
21.88958728400602,-0.20879317173473066,1.7328486678601795,372,Pct Diff,5%
21.95628079230868,-0.22125266968525756,1.7290795331455786,385,Consecutive,1
21.95628079230868,-0.22125266968525756,1.7290795331455786,385,Pct Diff,0%
21.95628079230868,-0.22125266968525756,1.7290795331455786,385,Score Diff,0
21.140753753736867,-0.2548762760483856,1.7045484416750465,349,Pct Diff,15%
14.223765899111681,-0.20477381746809964,1.5947592064871343,303,Consecutive,2
17.711115824517222,-0.2763183888448899,1.5901736463270206,337,Pct Diff,20%
13.196499667725561,-0.22137326967202905,1.5542245404228923,213,Consecutive,4
